title,snippet,pageid,extract,fullurl
"A Briefer History of Time (buku Hawking dan Mlodinow)","A Briefer History of Time adalah buku sains populer tahun 2005 karya fisikawan Inggris Stephen Hawking dan fisikawan Amerika Serikat Leonard Mlodinow","1119221","A Briefer History of Time adalah buku sains populer tahun 2005 karya fisikawan Inggris Stephen Hawking dan fisikawan Amerika Serikat Leonard Mlodinow. Buku ini adalah pemutakhiran A Brief History of Time karya Hawking tahun 1988. Di buku ini, Hawking dan Mlodinow memaparkan mekanika kuantum, teori dawai, teori ledakan besar, dan topik-topik lain dengan gaya penulisan yang lebih sederhana. Buku ini diperbarui dengan topik-topik baru dan membahasnya secara lebih rinci.","https://id.wikipedia.org/wiki/A_Briefer_History_of_Time_(buku_Hawking_dan_Mlodinow)"
"A & C Black","A &amp; C Black adalah sebuah perusahaan penerbitan buku Britania Raya; yang sejak tahun 2002 dimiliki oleh Bloomsbury Publishing. Perusahaan ini didirikan","2542370","A & C Black adalah sebuah perusahaan penerbitan buku Britania Raya, yang sejak tahun 2002 dimiliki oleh Bloomsbury Publishing.","https://id.wikipedia.org/wiki/A_%26_C_Black"
"A Devil's Chaplain","oleh Tuhan: &quot;What a book a devil's chaplain might write on the clumsy; wasteful; blundering low and horridly cruel works of nature!&quot; (Buku macam apa yang","2531094","A Devil's Chaplain: Reflections on Hope, Lies, Science, and Love adalah sekumpulan esai dan tulisan-tulisan karya Richard Dawkins lainnya yang diterbitkan pada tahun 2003. Buku ini diterbitkan lima tahun setelah buku Dawkins yang sebelumnya, Unweaving the Rainbow. Topik-topik yang dibahas di dalam buku ini adalah ilmu semu, determinisme genetik, memetika, terorisme, agama dan kreasionisme. Salah satu bab dalam buku ini dipersembahkan untuk lawan Dawkins dalam ilmu biologi evolusioner, Stephen Jay Gould.
Judul buku ini mengutip Charles Darwin saat ia mengungkapkan ketidakpercayaannya bahwa "dunia yang sempurna" dirancang oleh Tuhan:
"What a book a devil's chaplain might write on the clumsy, wasteful, blundering low and horridly cruel works of nature!" (Buku macam apa yang dapat ditulis oleh seorang pendeta setan mengenai alam yang ceroboh, boros, mengerikan dan kejam!")","https://id.wikipedia.org/wiki/A_Devil%27s_Chaplain"
"A Beautiful Mind","dan Ron Howard. Naskah film ini ditulis oleh Akiva Goldsman berdasarkan buku A Beautiful Mind karya Sylvia Nasar. Film ini dibintangi oleh Russell Crowe","53682","A Beautiful Mind adalah film biografi drama Amerika Serikat tahun 2001 yang disutradarai oleh Ron Howard dan diproduseri oleh Brian Grazer dan Ron Howard. Naskah film ini ditulis oleh Akiva Goldsman berdasarkan buku A Beautiful Mind karya Sylvia Nasar. Film ini dibintangi oleh Russell Crowe, Jennifer Connelly, Ed Harris, Paul Bettany, Josh Lucas dan Christopher Plummer.
Film A Beautiful Mind ditayangkan secara perdana di Beverly Hills pada tanggal 13 Desember 2001 dan dirilis di Amerika Serikat pada tanggal 21 Desember 2001 secara terbatas dan 4 Januari 2002 secara luas. Film ini mendapatkan review positif dari para kritikus.","https://id.wikipedia.org/wiki/A_Beautiful_Mind"
"A Series of Unfortunate Events","keseluruhan 13 seri dari buku ini baru diterjemahkan ke dalam bahasa Indonesia sampai seri ke 9 (Carnivorous Carnival). Buku ini menceritakan tentang","215082","A Series of Unfortunate Events atau Runtutan Peristiwa Penuh Ketidak Beruntungan adalah sebuah novel anak-anak karya Lemony Snicket, anonim dari pengarang sebenarnya, Daniel Handler. Novel ini dialihbahasakan ke Bahasa Indonesia menjadi Kisah Anak-anak Baudelaire. Novel seri ini terbagi dalam 13 judul, dan baru 8 judul yang dialihbahasakan ke dalam Bahasa Indonesia. Adapsi film berdasarkan tiga judul dirilis di 17 Desember 2004, sebagai Lemony Snicket's A Series of Unfortunate Events, yang juga mempunyai adapsi permainan video berdasarkannya.
Seri ini menceritakan tentang kehidupan tiga bersaudara Baudelaire, yaitu Violet, Klaus, dan Sunny. Violet berusia 14 th, Klaus 12 th, sedangkan Sunny masih bayi. Pada awal bab kita akan mendapati penjelasan dari Lemony Snicket bahwa cerita novel ini sangat menyedihkan dan penuh penderitaan sejak meninggalnya orang tua tiga bersaudara Baudelaire karena kebakaran yang menghancurkan rumah mereka. Sampai saat ini (2008) dari keseluruhan 13 seri dari buku ini baru diterjemahkan ke dalam bahasa Indonesia sampai seri ke 9 (Carnivorous Carnival).","https://id.wikipedia.org/wiki/A_Series_of_Unfortunate_Events"
"A Few Poorly Organized Men","A Few Poorly Organized Men: Interreligious Violence in Poso; Indonesia; adalah sebuah buku yang dipublikasikan pada tahun 2013 oleh peneliti dan Indonesianis","2461407","A Few Poorly Organized Men: Interreligious Violence in Poso, Indonesia, adalah sebuah buku yang dipublikasikan pada tahun 2013 oleh peneliti dan Indonesianis dari Australia, Dave McRae. Buku ini berfokus mengenai Kerusuhan Poso yang terjadi di Kabupaten Poso, Sulawesi Tengah pada tahun 1999 hingga 2002.
Buku ini pada umumnya merupakan buah karya dari disertasi yang dilakukan McRae pada tahun 2008. McRae melakukan penelitian lapangan di Indonesia secara bertahap, sejak tahun 2002 hingga 2007.","https://id.wikipedia.org/wiki/A_Few_Poorly_Organized_Men"
"A Song of Ice and Fire","pertama. Buku: A Song of Ice and Fire Buku Wikipedia adalah koleksi artikel yang bisa diunduh atau dipesan dalam bentuk cetak. Garis besar A Song of Ice","2438097","A Song of Ice and Fire adalah seri novel fantasi epik yang ditulis oleh novelis dan penulis naskah Amerika Serikat, George R. R. Martin. Ia mengawali volume pertama seri ini yang berjudul A Game of Thrones pada tahun 1991 dan menerbitkannya tahun 1996. Meski awalnya Martin merencanakan trilogi, ia akhirnya memutuskan menerbitkan tujuh volume. Volume kelima, A Dance with Dragons, ditulis selama lima tahun dan diterbitkan tahun 2011. Ia masih menulis volume keenam, The Winds of Winter.
A Song of Ice and Fire berlatar di benua fiktif bernama Westeros dan Essos. Sudut pandang setiap bab dibatasi dari sembilan tokoh di novel pertama menjadi 31 tokoh di novel kelima. Tiga alur utamanya menceritakan perang dinasti antara beberapa keluarga yang ingin menguasai Westeros, meningkatnya ancaman bangsa supernatural di bagian utara Westeros, dan ambisi Daenerys Targaryen, putri raja yang terasingkan, untuk merebut Takhta Besi.
Martin terinspirasi oleh Perang Mawar dan novel sejarah Prancis The Accursed Kings karya Maurice Druon. A Song of Ice and Fire menuai pujian atas penggambaran perempuan dan agama sekaligus realismenya. Pembaca dihadapkan dengan berbagai sudut pandang yang terpisah dan subjektif. Kesuksesan atau keselamatan tokoh tidak pernah pasti. Persoalan kesetiaan, kebanggaan, seksualitas manusia, ketaatan, dan moralitas kekerasan sering diangkat dalam dunia A Song of Ice and Fire.
Per April 2015, 60 juta eksemplar telah terjual di seluruh dunia. Per Januari 2017, rangkaian novel ini telah diterjemahkan ke dalam 47 bahasa. Volume keempat dan kelima memuncaki The New York Times Best Seller List usai diterbitkan. Karya turunannya meliputi beberapa novela prekuel, seri TV, komik, dan beberapa permainan kartu, papan, dan video.","https://id.wikipedia.org/wiki/A_Song_of_Ice_and_Fire"
"A Song Flung Up to Heaven","A Song Flung Up to Heaven adalah buku keenam dalam serial autobiografi karya penulis dan penyair berkebangsaan Amerika Serikat; Maya Angelou. Berlatar","2363655","A Song Flung Up to Heaven adalah buku keenam dalam serial autobiografi karya penulis dan penyair berkebangsaan Amerika Serikat, Maya Angelou. Berlatar waktu 1965 sampai dengan1968, buku ini diawali seperti bagian akhir buku Angelou berjudul All God's Children Need Traveling Shoes, melalui perjalanan Angelou ke Accra, Ghana, di mana dia selama empat tahun, kemudian kembali ke Amerika Serikat. Dua bingkai "peristiwa bencana" merupakan awal dan akhir dari buku ini—pembunuhan terhadap Malcolm X dan Martin Luther King, Jr. Angelou mendeskripsikan betapa dia terpukul dengan peristiwa-peristiwa ini dan perubahan dalam dua negara, serta kehidupan pribadinya, dan bagaimana dia mengatasi segalanya dengan kembali ke rumah. Buku ini diakhir dengan kondisi saat dia berada dalam "ambang karier sastranya", penulisan garis pembuka ke autobiografi pertamanya, I Know Why the Caged Bird Sings.
Sebagaimana yang telah dimulai dalam Caged Bird, dan dilanjutkan melalui serialnya, Angelou masih mempertahankan tradisi panjang autobiografi Afrika-Amerika. Di waktu yang sama, dia sengaja mengupayakan sebuah tantangan struktur biasanya dari autobiografi dengan cara mengkritisi, perubahan, dan perluasan genre. Kebanyakan pembaca sepakat bahwa buku ini dirancang dari serial vignette. Sampai saat Song ditulis pada tahun 2002, enam belas setelah autobiografi sebelumnya, Angelou memiliki pengalaman sangat banyak dan tersohor, serta dikenal sebagai penulis dan penyair. Dia membacakan puisinya, On the Pulse of Morning pada saat pelantikan pertama Bill Clinton sebagai Presiden Amerika Serikat, tahun 1993, menjadi penyair pertama yang mendapatkan kesempatan membaca puisi dalam pelantikan presiden, sejak Robert Frost dalam pelantikan John F. Kennedy' tahun 1961. Dia menjadi dikenal dan menaruh perhatian sebagai seorang pembicara untuk perempuan keturunan kulit hitam. Angelou, seperti dikatakan oleh akademikus Joanne, "tidak perlu diragukan, ..... penulis autobiografi Amerika serikat paling menonjol".
